consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,keyTraining.rt,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/65possible.bmp,images/65possible.bmp,images/65possible.bmp,images/65possible.bmp,images/65possible.bmp,,,,,,,,,,,,,,,images/65possible.bmp,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.29638,0,24,24,112,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,,,,,,,,,,,,,,images/69possible.bmp,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.2176,0,25,25,119,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,,,,,,,,,,,,,images/38impossible.bmp,,,,,,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,0,1.73543,0,26,26,84,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,,,,,,,,,,,,images/55possible.bmp,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,2.135795,0,27,27,117,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,images/22impossible.bmp,images/22impossible.bmp,images/22impossible.bmp,,,,,,,,,,,,,,,,images/22impossible.bmp,,,,,,,,,,s,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,2.42017,0,28,28,51,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,,,,,,,,,,,,,images/42possible.bmp,,,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.542855,0,29,29,109,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/44impossible.bmp,images/44impossible.bmp,images/44impossible.bmp,images/44impossible.bmp,,,,,,,,,,,,,images/44impossible.bmp,,,,,,,,,d,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.31242,0,30,30,92,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,,,,,,,,,,,,,,,images/08impossible.bmp,,,,,,,,,,,d,impossible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.218455,0,31,31,56,1,3,,
,,,,,,,,,,,,,,,,,,,,,images/55impossible.bmp,images/55impossible.bmp,,,,,,,,,,,,,,,,images/55impossible.bmp,,,,,,,,,,,,,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,2.22261,0,32,32,45,1,2,,
,,,,,,,,,,,,,,,,,,,,,images/08possible.bmp,images/08possible.bmp,,,,,,,,,,,,,,,images/08possible.bmp,,,,,,,,,,,,,,s,possible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.26527,0,33,33,26,1,2,,
,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.16316,0,34,34,29,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/22possible.bmp,images/22possible.bmp,images/22possible.bmp,images/22possible.bmp,,,,,,,,,,,,,,images/22possible.bmp,,,,,,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.811915,0,35,35,75,1,4,,
,,,,,,,,,,,,,,,,,,,images/05impossible.bmp,,,,,,,,,,,,,,,,images/05impossible.bmp,,,,,,,,,,,,,,,,s,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.18065,0,36,36,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/03possible.bmp,images/03possible.bmp,images/03possible.bmp,images/03possible.bmp,,,,,,,,,,,,,,,,images/03possible.bmp,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.262865,0,37,37,78,1,4,,
